metric_type,year,province_name,sector_name,model_used,forecast_value,lower_bound_95,upper_bound_95
GDP,2027,Zamboanga Sibugay,Agriculture,XGBoost,17634.16,17437.35,17830.98
Industry_Growth,2027,Zamboanga Sibugay,Agriculture,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Agriculture,XGBoost,18001.95,17760.9,18243.0
Industry_Growth,2028,Zamboanga Sibugay,Agriculture,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Agriculture,XGBoost,18384.44,18106.1,18662.79
Industry_Growth,2029,Zamboanga Sibugay,Agriculture,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Agriculture,XGBoost,18782.24,18471.04,19093.43
Industry_Growth,2030,Zamboanga Sibugay,Agriculture,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Industry,XGBoost,185.8,184.3,187.29
Industry_Growth,2026,Zamboanga Sibugay,Industry,XGBoost,4.03,4.02,4.03
GDP,2027,Zamboanga Sibugay,Industry,XGBoost,189.6,187.49,191.72
Industry_Growth,2027,Zamboanga Sibugay,Industry,XGBoost,4.04,4.04,4.05
GDP,2028,Zamboanga Sibugay,Industry,XGBoost,193.56,190.97,196.15
Industry_Growth,2028,Zamboanga Sibugay,Industry,XGBoost,4.06,4.06,4.07
GDP,2029,Zamboanga Sibugay,Industry,XGBoost,197.68,194.69,200.67
Industry_Growth,2029,Zamboanga Sibugay,Industry,XGBoost,4.08,4.08,4.09
GDP,2030,Zamboanga Sibugay,Industry,XGBoost,201.96,198.61,205.31
Industry_Growth,2030,Zamboanga Sibugay,Industry,XGBoost,4.11,4.1,4.11
GDP,2026,Zamboanga Sibugay,Manufacturing,XGBoost,20919.11,20750.63,21087.59
Industry_Growth,2026,Zamboanga Sibugay,Manufacturing,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Manufacturing,XGBoost,21347.22,21108.95,21585.48
Industry_Growth,2027,Zamboanga Sibugay,Manufacturing,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Manufacturing,XGBoost,21792.44,21500.63,22084.26
Industry_Growth,2028,Zamboanga Sibugay,Manufacturing,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Manufacturing,XGBoost,22255.48,21918.52,22592.45
Industry_Growth,2029,Zamboanga Sibugay,Manufacturing,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Manufacturing,XGBoost,22737.04,22360.31,23113.78
Industry_Growth,2030,Zamboanga Sibugay,Manufacturing,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Industry,XGBoost,1230.52,1220.61,1240.43
Industry_Growth,2026,Zamboanga Sibugay,Industry,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Industry,XGBoost,1255.7,1241.68,1269.71
Industry_Growth,2027,Zamboanga Sibugay,Industry,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Industry,XGBoost,1281.88,1264.72,1299.05
Industry_Growth,2028,Zamboanga Sibugay,Industry,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Industry,XGBoost,1309.12,1289.3,1328.94
Industry_Growth,2029,Zamboanga Sibugay,Industry,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Industry,XGBoost,1337.44,1315.28,1359.6
Industry_Growth,2030,Zamboanga Sibugay,Industry,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Construction,XGBoost,18976.02,18823.19,19128.85
Industry_Growth,2026,Zamboanga Sibugay,Construction,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Construction,XGBoost,19364.35,19148.22,19580.48
Industry_Growth,2027,Zamboanga Sibugay,Construction,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Construction,XGBoost,19768.22,19503.52,20032.92
Industry_Growth,2028,Zamboanga Sibugay,Construction,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Construction,XGBoost,20188.24,19882.59,20493.9
Industry_Growth,2029,Zamboanga Sibugay,Construction,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Construction,XGBoost,20625.07,20283.33,20966.8
Industry_Growth,2030,Zamboanga Sibugay,Construction,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Trade,XGBoost,23521.51,23332.07,23710.94
Industry_Growth,2026,Zamboanga Sibugay,Trade,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Trade,XGBoost,24002.86,23734.96,24270.77
Industry_Growth,2027,Zamboanga Sibugay,Trade,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Trade,XGBoost,24503.48,24175.36,24831.59
Industry_Growth,2028,Zamboanga Sibugay,Trade,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Trade,XGBoost,25024.11,24645.24,25402.99
Industry_Growth,2029,Zamboanga Sibugay,Trade,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Trade,XGBoost,25565.58,25141.98,25989.17
Industry_Growth,2030,Zamboanga Sibugay,Trade,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,3060.5,3035.85,3085.16
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,3123.14,3088.28,3158.0
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,3188.28,3145.59,3230.98
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,3256.03,3206.73,3305.33
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,3326.49,3271.37,3381.61
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Tourism,XGBoost,1796.89,1782.42,1811.36
Industry_Growth,2026,Zamboanga Sibugay,Tourism,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Tourism,XGBoost,1833.66,1813.19,1854.13
Industry_Growth,2027,Zamboanga Sibugay,Tourism,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Tourism,XGBoost,1871.9,1846.84,1896.97
Industry_Growth,2028,Zamboanga Sibugay,Tourism,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Tourism,XGBoost,1911.68,1882.73,1940.62
Industry_Growth,2029,Zamboanga Sibugay,Tourism,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Tourism,XGBoost,1953.04,1920.68,1985.4
Industry_Growth,2030,Zamboanga Sibugay,Tourism,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,ICT,XGBoost,3111.24,3086.19,3136.3
Industry_Growth,2026,Zamboanga Sibugay,ICT,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,ICT,XGBoost,3174.91,3139.48,3210.35
Industry_Growth,2027,Zamboanga Sibugay,ICT,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,ICT,XGBoost,3241.13,3197.73,3284.53
Industry_Growth,2028,Zamboanga Sibugay,ICT,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,ICT,XGBoost,3310.0,3259.89,3360.11
Industry_Growth,2029,Zamboanga Sibugay,ICT,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,ICT,XGBoost,3381.62,3325.59,3437.65
Industry_Growth,2030,Zamboanga Sibugay,ICT,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,4116.2,4083.05,4149.35
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,4200.44,4153.56,4247.32
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,4288.04,4230.62,4345.46
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,4379.15,4312.85,4445.45
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,4473.9,4399.78,4548.03
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,4203.49,4169.64,4237.35
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,4289.52,4241.64,4337.39
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,4378.98,4320.35,4437.62
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,4472.02,4404.32,4539.73
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,4568.79,4493.09,4644.49
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,796.89,790.47,803.3
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,813.19,804.12,822.26
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.03,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,830.15,819.03,841.26
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.05,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,847.78,834.95,860.61
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.07,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,866.12,851.77,880.47
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,4840.85,4801.86,4879.83
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,4939.91,4884.77,4995.05
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,5042.94,4975.41,5110.46
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,5150.08,5072.11,5228.06
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,5261.52,5174.34,5348.69
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,9460.73,9384.54,9536.92
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,9654.34,9546.58,9762.09
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,9855.69,9723.72,9987.67
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,10065.1,9912.71,10217.49
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,10282.88,10112.51,10453.26
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,2739.04,2716.98,2761.1
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,2795.1,2763.9,2826.29
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,2853.39,2815.18,2891.6
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,2914.02,2869.9,2958.14
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,2977.07,2927.75,3026.4
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga Sibugay,Services,XGBoost,687.16,681.62,692.69
Industry_Growth,2026,Zamboanga Sibugay,Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga Sibugay,Services,XGBoost,701.22,693.4,709.05
Industry_Growth,2027,Zamboanga Sibugay,Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga Sibugay,Services,XGBoost,715.85,706.26,725.43
Industry_Growth,2028,Zamboanga Sibugay,Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga Sibugay,Services,XGBoost,731.06,719.99,742.13
Industry_Growth,2029,Zamboanga Sibugay,Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga Sibugay,Services,XGBoost,746.88,734.5,759.25
Industry_Growth,2030,Zamboanga Sibugay,Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Agriculture,XGBoost,29623.77,29385.19,29862.36
Industry_Growth,2026,Zamboanga City (HUC),Agriculture,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Agriculture,XGBoost,30230.01,29892.6,30567.42
Industry_Growth,2027,Zamboanga City (HUC),Agriculture,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Agriculture,XGBoost,30860.5,30447.26,31273.74
Industry_Growth,2028,Zamboanga City (HUC),Agriculture,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Agriculture,XGBoost,31516.21,31039.04,31993.38
Industry_Growth,2029,Zamboanga City (HUC),Agriculture,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Agriculture,XGBoost,32198.15,31664.66,32731.64
Industry_Growth,2030,Zamboanga City (HUC),Agriculture,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Industry,XGBoost,318.49,315.93,321.06
Industry_Growth,2026,Zamboanga City (HUC),Industry,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Industry,XGBoost,325.01,321.39,328.64
Industry_Growth,2027,Zamboanga City (HUC),Industry,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Industry,XGBoost,331.79,327.35,336.24
Industry_Growth,2028,Zamboanga City (HUC),Industry,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Industry,XGBoost,338.84,333.71,343.97
Industry_Growth,2029,Zamboanga City (HUC),Industry,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Industry,XGBoost,346.18,340.44,351.91
Industry_Growth,2030,Zamboanga City (HUC),Industry,XGBoost,4.1,4.1,4.11
GDP,2026,Zamboanga City (HUC),Manufacturing,XGBoost,35861.3,35572.48,36150.11
Industry_Growth,2026,Zamboanga City (HUC),Manufacturing,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Manufacturing,XGBoost,36595.18,36186.73,37003.63
Industry_Growth,2027,Zamboanga City (HUC),Manufacturing,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Manufacturing,XGBoost,37358.43,36858.18,37858.68
Industry_Growth,2028,Zamboanga City (HUC),Manufacturing,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Manufacturing,XGBoost,38152.2,37574.56,38729.84
Industry_Growth,2029,Zamboanga City (HUC),Manufacturing,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Manufacturing,XGBoost,38977.72,38331.91,39623.54
Industry_Growth,2030,Zamboanga City (HUC),Manufacturing,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Industry,XGBoost,2109.49,2092.5,2126.48
Industry_Growth,2026,Zamboanga City (HUC),Industry,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Industry,XGBoost,2152.66,2128.63,2176.69
Industry_Growth,2027,Zamboanga City (HUC),Industry,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Industry,XGBoost,2197.55,2168.13,2226.98
Industry_Growth,2028,Zamboanga City (HUC),Industry,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Industry,XGBoost,2244.25,2210.27,2278.23
Industry_Growth,2029,Zamboanga City (HUC),Industry,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Industry,XGBoost,2292.81,2254.82,2330.8
Industry_Growth,2030,Zamboanga City (HUC),Industry,XGBoost,4.1,4.1,4.11
GDP,2026,Zamboanga City (HUC),Construction,XGBoost,32530.35,32268.36,32792.34
Industry_Growth,2026,Zamboanga City (HUC),Construction,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Construction,XGBoost,33196.07,32825.56,33566.59
Industry_Growth,2027,Zamboanga City (HUC),Construction,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Construction,XGBoost,33888.42,33434.64,34342.21
Industry_Growth,2028,Zamboanga City (HUC),Construction,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Construction,XGBoost,34608.47,34084.49,35132.45
Industry_Growth,2029,Zamboanga City (HUC),Construction,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Construction,XGBoost,35357.32,34771.48,35943.15
Industry_Growth,2030,Zamboanga City (HUC),Construction,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Trade,XGBoost,40322.58,39997.83,40647.34
Industry_Growth,2026,Zamboanga City (HUC),Trade,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Trade,XGBoost,41147.77,40688.5,41607.04
Industry_Growth,2027,Zamboanga City (HUC),Trade,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Trade,XGBoost,42005.96,41443.47,42568.45
Industry_Growth,2028,Zamboanga City (HUC),Trade,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Trade,XGBoost,42898.48,42248.98,43547.99
Industry_Growth,2029,Zamboanga City (HUC),Trade,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Trade,XGBoost,43826.7,43100.53,44552.87
Industry_Growth,2030,Zamboanga City (HUC),Trade,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,5246.55,5204.29,5288.8
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,5353.91,5294.16,5413.67
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,5465.57,5392.39,5538.76
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,5581.7,5497.19,5666.21
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,5702.48,5607.99,5796.96
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Tourism,XGBoost,3080.34,3055.53,3105.15
Industry_Growth,2026,Zamboanga City (HUC),Tourism,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Tourism,XGBoost,3143.38,3108.29,3178.46
Industry_Growth,2027,Zamboanga City (HUC),Tourism,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Tourism,XGBoost,3208.94,3165.97,3251.91
Industry_Growth,2028,Zamboanga City (HUC),Tourism,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Tourism,XGBoost,3277.12,3227.5,3326.73
Industry_Growth,2029,Zamboanga City (HUC),Tourism,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Tourism,XGBoost,3348.03,3292.55,3403.5
Industry_Growth,2030,Zamboanga City (HUC),Tourism,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),ICT,XGBoost,5333.55,5290.59,5376.51
Industry_Growth,2026,Zamboanga City (HUC),ICT,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),ICT,XGBoost,5442.7,5381.95,5503.45
Industry_Growth,2027,Zamboanga City (HUC),ICT,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),ICT,XGBoost,5556.21,5481.81,5630.62
Industry_Growth,2028,Zamboanga City (HUC),ICT,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),ICT,XGBoost,5674.27,5588.36,5760.18
Industry_Growth,2029,Zamboanga City (HUC),ICT,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),ICT,XGBoost,5797.05,5700.99,5893.1
Industry_Growth,2030,Zamboanga City (HUC),ICT,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,7056.37,6999.54,7113.2
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,7200.77,7120.4,7281.14
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,7350.96,7252.52,7449.39
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,7507.15,7393.49,7620.81
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,7669.58,7542.51,7796.66
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,7206.02,7147.98,7264.06
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,7353.49,7271.41,7435.57
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,7506.86,7406.34,7607.38
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,7666.36,7550.29,7782.44
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,7832.25,7702.47,7962.02
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,1366.15,1355.14,1377.15
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,1394.11,1378.55,1409.67
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,1423.19,1404.13,1442.24
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,1453.43,1431.42,1475.43
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.09
GDP,2030,Zamboanga City (HUC),Services,XGBoost,1484.88,1460.27,1509.48
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.11
GDP,2026,Zamboanga City (HUC),Services,XGBoost,8298.59,8231.76,8365.43
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,8468.42,8373.9,8562.94
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,8645.04,8529.28,8760.8
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,8828.72,8695.05,8962.39
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,9019.75,8870.3,9169.2
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,16218.4,16087.78,16349.02
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,16550.3,16365.58,16735.03
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,16895.48,16669.24,17121.72
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,17254.47,16993.23,17515.71
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,17627.81,17335.74,17919.89
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,4695.5,4657.68,4733.32
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,4791.59,4738.11,4845.08
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,4891.53,4826.02,4957.03
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,4995.46,4919.82,5071.09
Industry_Growth,2029,Zamboanga City (HUC),Services,XGBoost,4.08,4.08,4.08
GDP,2030,Zamboanga City (HUC),Services,XGBoost,5103.55,5018.98,5188.11
Industry_Growth,2030,Zamboanga City (HUC),Services,XGBoost,4.1,4.1,4.1
GDP,2026,Zamboanga City (HUC),Services,XGBoost,1177.95,1168.47,1187.44
Industry_Growth,2026,Zamboanga City (HUC),Services,XGBoost,4.02,4.02,4.02
GDP,2027,Zamboanga City (HUC),Services,XGBoost,1202.06,1188.64,1215.47
Industry_Growth,2027,Zamboanga City (HUC),Services,XGBoost,4.04,4.04,4.04
GDP,2028,Zamboanga City (HUC),Services,XGBoost,1227.13,1210.7,1243.56
Industry_Growth,2028,Zamboanga City (HUC),Services,XGBoost,4.06,4.06,4.06
GDP,2029,Zamboanga City (HUC),Services,XGBoost,1253.2,1234.23,1272.17
